C,Gamma,AN,DI,FE,HA,NE,SA,SU
0.002,0.01,1.0,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,0.7692307692307693
0.01,0.001,1.0,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,0.7692307692307693
0.1,0.00011,1.0,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,0.7692307692307693
0.1,7e-05,1.0,1.0,1.0,0.8461538461538461,0.8333333333333334,1.0,0.8333333333333334
10.0,1e-06,1.0,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,0.7692307692307693
100.0,1e-07,1.0,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0,0.7692307692307693
