C,Gamma,AN,DI,FE,HA,NE,SA,SU
100.0,0.0002,1.0,1.0,1.0,0.9166666666666666,0.9090909090909091,0.8,0.8181818181818182
1000.0,1.9e-05,1.0,1.0,1.0,0.9166666666666666,0.9090909090909091,0.8,0.8181818181818182
